id,label
9614,ship
31613,bird
265480,ship
264347,frog
140225,ship
43705,dog
274971,deer
107587,cat
292635,frog
88759,horse
56848,bird
191637,horse
110037,cat
295284,airplane
98054,automobile
264159,automobile
185352,ship
85335,airplane
183813,automobile
164989,ship
158206,frog
20687,airplane
157075,cat
75725,frog
283902,automobile
147162,ship
233072,bird
39837,automobile
117007,cat
154468,frog
198018,frog
171002,cat
113207,automobile
178225,dog
270708,dog
150043,deer
122433,frog
137600,deer
175351,automobile
287143,frog
219025,dog
177063,ship
266801,automobile
9319,horse
36013,frog
63089,ship
162122,deer
225458,cat
59410,bird
208836,cat
82414,horse
48210,ship
77532,frog
291738,cat
266860,frog
244523,bird
133629,deer
280087,dog
213608,dog
15590,ship
253945,ship
142414,cat
284587,ship
28135,deer
156331,deer
3577,cat
256177,cat
154020,deer
183632,deer
154674,airplane
29287,truck
3831,frog
34069,dog
144087,automobile
217120,truck
253973,bird
252991,ship
181511,dog
268703,airplane
277976,cat
168631,truck
7724,ship
129020,truck
14359,dog
122223,truck
8381,horse
9090,ship
242367,deer
291322,horse
142837,bird
137937,ship
264000,bird
64482,airplane
7290,bird
257190,frog
287742,frog
254947,cat
199601,bird
261636,dog
187287,airplane
133207,bird
260328,cat
299507,airplane
244863,airplane
61361,bird
254851,frog
237797,deer
212481,dog
8050,ship
245904,frog
116124,frog
239861,bird
116298,frog
177782,airplane
23317,cat
165352,deer
67141,frog
228566,ship
199911,ship
277213,deer
218569,truck
229779,frog
177258,bird
96377,cat
86978,ship
67711,bird
126550,bird
47480,frog
277168,frog
262150,dog
153845,frog
73075,cat
50432,cat
155575,deer
144948,automobile
160358,frog
112226,frog
251974,dog
78085,ship
63168,deer
254624,horse
180936,dog
203585,cat
35907,airplane
56511,cat
144904,ship
280356,bird
207307,frog
116997,frog
168943,cat
230375,frog
149946,automobile
100477,frog
182374,frog
22991,airplane
20416,bird
261519,frog
274257,deer
94278,bird
202487,truck
294904,deer
191990,dog
149034,cat
5630,frog
171557,frog
49628,bird
258028,deer
271031,ship
103225,dog
27862,airplane
266939,frog
275456,horse
161991,truck
197295,horse
35571,frog
244774,cat
47308,airplane
151134,cat
187778,ship
105425,cat
63532,deer
239942,frog
267841,deer
125896,airplane
236629,frog
208580,horse
240818,bird
270718,ship
251284,horse
138154,truck
33764,ship
148247,airplane
253253,truck
116682,dog
250459,truck
15767,cat
267480,automobile
171275,dog
280494,bird
282212,cat
42200,cat
245346,cat
120800,deer
49205,ship
246106,ship
176468,cat
69838,cat
49604,automobile
41131,automobile
75128,deer
19693,automobile
217706,frog
237448,dog
11971,airplane
134701,cat
43560,frog
247377,truck
52390,ship
283068,airplane
249793,cat
10239,frog
102968,ship
290387,cat
12979,dog
74535,deer
2897,bird
267083,airplane
209572,frog
111975,ship
161084,frog
124823,cat
42550,horse
139680,dog
219320,bird
101942,bird
232361,cat
167389,dog
138585,horse
247951,automobile
222286,cat
282348,frog
71671,ship
172588,dog
77157,deer
109621,ship
96169,deer
99912,dog
284907,cat
27546,frog
296651,horse
170974,bird
246950,cat
212678,airplane
160778,frog
156339,frog
71975,automobile
221343,automobile
134229,cat
257236,cat
81859,airplane
104563,truck
264242,frog
239572,bird
118487,airplane
116590,dog
202664,truck
207110,cat
225983,airplane
269064,bird
56150,cat
178106,automobile
71074,horse
67943,cat
82479,frog
243016,truck
282461,deer
73474,bird
287584,automobile
209887,deer
151956,dog
48842,cat
69368,frog
278075,automobile
237133,deer
1285,automobile
34716,bird
191400,cat
148098,cat
225036,truck
135639,cat
89077,bird
17443,frog
268049,frog
166971,automobile
176726,airplane
108094,dog
105930,ship
28205,cat
2999,truck
129473,deer
246040,truck
50308,automobile
272508,airplane
149348,deer
214411,automobile
204764,horse
107097,bird
2080,airplane
138936,truck
95629,frog
54090,bird
11054,bird
211827,automobile
169944,automobile
134171,airplane
46198,cat
271056,airplane
285630,cat
122350,airplane
59181,truck
114965,frog
223179,frog
47033,dog
257861,bird
274570,airplane
242580,bird
194236,bird
11076,automobile
54956,cat
140993,ship
130034,dog
28603,dog
277782,bird
67633,ship
117298,airplane
55901,deer
86121,dog
183520,airplane
82835,ship
155675,ship
121672,airplane
60815,frog
21177,horse
212429,ship
30928,frog
98566,frog
21576,deer
74130,frog
753,cat
137151,airplane
59364,deer
82585,cat
225719,cat
179181,airplane
183871,airplane
197547,frog
229820,bird
213321,frog
190496,frog
41761,automobile
141201,airplane
248612,airplane
180937,cat
10909,ship
156904,airplane
85294,deer
102866,bird
217036,bird
139813,deer
207660,ship
240178,ship
201013,cat
12135,bird
184810,automobile
85438,automobile
284057,airplane
86590,deer
76828,ship
100453,bird
94866,cat
147919,deer
197895,frog
226723,deer
117066,truck
230827,cat
243417,horse
256448,dog
140244,dog
192613,dog
113590,deer
159682,deer
89579,airplane
193850,bird
211626,ship
167003,ship
170585,cat
96966,cat
114300,cat
145529,ship
116584,horse
257271,cat
48200,cat
172717,deer
264673,frog
108101,frog
120192,truck
82577,truck
91664,deer
51390,airplane
214483,dog
174781,truck
82781,cat
3054,airplane
22162,frog
107219,cat
131185,frog
124897,bird
219904,deer
116940,bird
254720,deer
25423,bird
316,frog
166367,truck
158822,frog
3476,cat
217100,airplane
236752,cat
138982,bird
186975,deer
55639,automobile
170026,ship
122646,airplane
138644,cat
212078,bird
19698,ship
113808,dog
76964,frog
108923,cat
228956,cat
127804,airplane
79281,frog
253852,horse
109347,frog
95276,frog
53842,cat
116943,bird
285305,ship
102721,horse
117024,horse
201493,airplane
92201,cat
63811,automobile
130305,cat
166900,deer
33428,ship
63392,bird
216811,cat
249037,frog
246771,frog
218838,frog
65572,ship
4994,cat
278441,frog
90263,dog
238060,dog
108026,cat
82514,cat
236427,airplane
188815,cat
13839,frog
32787,frog
227068,airplane
160745,deer
120683,bird
253755,frog
112993,airplane
134851,truck
167971,cat
279777,dog
153031,frog
88193,cat
108139,deer
3618,dog
120991,frog
201078,bird
125770,frog
94240,frog
291508,bird
279692,bird
85843,frog
153697,truck
79629,horse
84337,horse
221,frog
83326,cat
277201,deer
13174,cat
201898,bird
103124,deer
178427,truck
13355,dog
83167,cat
51469,airplane
102235,cat
290546,airplane
121816,cat
16650,cat
109827,ship
196703,cat
177511,deer
240042,frog
24860,dog
120833,bird
9899,bird
217708,frog
50485,cat
263585,dog
45048,cat
278496,ship
233935,cat
134830,automobile
101989,frog
242216,ship
100352,frog
276345,truck
66006,deer
289023,horse
206161,deer
193881,cat
216120,automobile
122379,bird
34623,ship
